"DISTANCE","SWATHWIDTH","VRYIELDVOL","Crop","WetMass","Moisture","Time","Heading","VARIETY","Elevation","IsoTime","yield_bu"
0.92027334,5,57.38461376,174,3443.65176607,0,"9/19/2016 4:45:46 PM",300.15840698,"23A42",786.8469847,"2016-09-19T16:45:46.001Z",65.9703403461686
2.69192689,5,55.88097177,174,3353.41053086,0,"9/19/2016 4:45:48 PM",303.60840698,"23A42",786.61404507,"2016-09-19T16:45:48.004Z",64.2415810509578
2.62631009,5,80.83788067,174,4851.07451629,0,"9/19/2016 4:45:49 PM",304.30840698,"23A42",786.14160413,"2016-09-19T16:45:49.007Z",92.9324619978927
2.75754369,5,71.76773455,174,4306.77699057,6.22,"9/19/2016 4:45:51 PM",306.20840698,"23A42",785.73806082,"2016-09-19T16:45:51.002Z",77.373476278861
2.3966513,5,91.03274435,174,5462.85072403,12.22,"9/19/2016 4:45:54 PM",309.22840698,"23A42",785.59370386,"2016-09-19T16:45:54.002Z",91.8638001063895
3.18405287,5,65.59036587,174,3951.05573046,13.33,"9/19/2016 4:45:55 PM",309.75840698,"23A42",785.75118418,"2016-09-19T16:45:55.005Z",65.601149455741
3.34809487,5,60.36662068,174,3668.55403278,14.09,"9/19/2016 4:45:55 PM",310.00840698,"23A42",785.78399258,"2016-09-19T16:45:55.996Z",60.3765281525153
2.69192689,5,65.85538234,174,4090.68518659,15.95,"9/19/2016 4:46:16 PM",345.73840698,"23A42",785.60682722,"2016-09-19T16:46:16.007Z",65.8663007534271
3.18405287,5,85.21009887,174,5217.80642267,14.74,"9/19/2016 4:46:21 PM",353.31840698,"23A42",785.75446502,"2016-09-19T16:46:21.002Z",85.2241715702767
3.11843607,5,69.64239268,174,4260.02479474,14.65,"9/19/2016 4:46:21 PM",353.15840698,"23A42",785.83648602,"2016-09-19T16:46:21.994Z",69.6538536841109
2.92158568,5,79.1896532,174,4842.88903259,14.63,"9/19/2016 4:46:22 PM",353.85840698,"23A42",785.8266435,"2016-09-19T16:46:22.996Z",79.2025740827985
3.02001088,5,72.80407554,174,4451.86164731,14.62,"9/19/2016 4:46:23 PM",354.27840698,"23A42",785.88241777,"2016-09-19T16:46:23.998Z",72.8160818864613
3.05281928,5,66.36294418,174,4057.9878802,14.62,"9/19/2016 4:46:25 PM",355.11840698,"23A42",785.8430477,"2016-09-19T16:46:25.003Z",66.3737557876391
4.75885602,5,57.71641209,174,3519.37905978,14.38,"9/19/2016 4:46:46 PM",306.46840698,"23A42",785.71837578,"2016-09-19T16:46:46.999Z",57.7259071069662
5.18536521,5,80.24824994,174,4889.30025116,14.31,"9/19/2016 4:46:47 PM",312.52840698,"23A42",785.70853326,"2016-09-19T16:46:47.994Z",80.2613292187549
5.15255681,5,71.13850789,174,4330.22900976,14.23,"9/19/2016 4:46:48 PM",318.53840698,"23A42",785.72165662,"2016-09-19T16:46:48.998Z",71.1501421776083
