"yield","rain6","rain7","temp6","temp7"
17,3.36,1.01,71.9,79.1
18,3.19,2.97,75.5,79.3
20,4.08,3.32,74,77.6
15,1.48,2.41,78.2,78.1
19,3.01,3.24,79,81.7
18,5.99,3.33,68.2,79
16,1.66,1.22,72.8,83.5
20,5.07,3.18,71.7,75.7
23.5,5.23,4.74,70.6,77.1
24.5,5.13,3.37,73.6,76.7
17.5,2.92,1.53,73.2,76.9
21,4.34,2.75,73.4,77
20.5,5.44,4.89,72.4,76.8
20.5,3.84,3,75.1,77.5
21,2.42,1.83,76,76.2
20,6.65,1.46,68.4,73.8
23.5,4.4,2.41,72.3,76.3
18,6.31,1.86,69.8,73
24,3.93,5.45,71.8,75.5
26,4.19,4.4,74.7,78.6
24,5.63,3.98,71.2,72.9
25.5,6.17,4.63,69.7,74.8
24,4.64,3.44,77.8,78.1
20.5,3.42,3.67,77.1,77.4
21.5,3.56,2.79,76.3,79.3
23,3.86,3.41,68.6,80.5
28.5,2.63,4.76,74,74.9
25.5,6.47,4.33,72.5,77.1
28,6.16,8.12,68.2,73.9
26,1.56,3.31,73.7,75.2
26,5.59,2.98,70.4,73.9
28.5,3.28,5.8,70.8,75
28.5,3.38,4.89,72.5,73.8
14,2.6,1.78,71,77.4
17.8,3.61,3.08,73.9,78.4
16.1,4.64,3.48,72.9,76.4
15,1.16,2.56,77.2,77
16,3.55,2.42,77.5,80.6
17,4.75,3.57,68.2,78
14,1.37,1.59,71.8,81.4
17,4.56,3.67,71,74.6
20,5.22,5.25,69.8,75.6
19.5,6.12,4.19,73.6,75.2
13.5,3.1,1.49,72.2,75.9
17,5.64,2.54,72.4,76.4
20,5.55,4.03,72.3,76.2
18.5,3.58,4.22,75.6,76.3
16.5,1.8,1.68,75.6,76.2
19.5,6.65,3.44,68.2,73.2
19,4.12,2.62,71.3,75.1
18.5,5.21,3.12,69,71.2
21,4.37,4.48,71.8,74.9
24,5.36,3.5,74.7,78.4
22.5,5.76,3.78,69.6,72.1
22.5,4.63,3.89,70,74.1
23.5,4.84,2.49,76.2,77.3
21,2.72,4.4,75.3,75.8
24,2.91,3.24,74.7,76.9
21.5,3.28,4.8,67.2,79.2
24,3.25,3.49,72.3,73.7
24.5,7.09,4.19,71.7,75
27,8.08,8.07,66.8,73.4
26,2.46,4.04,71.9,74.2
27,6.05,3.38,69.1,72.2
28,4.19,4.66,68.8,73.8
28,3.04,5.58,71.4,72.6
15.5,5.83,1.49,69,77.9
15.5,3.83,2.72,75,77.2
18,5.17,3.12,72,75.8
17,1.64,3.45,77.8,76.4
11.5,3.49,3.85,77.2,79.7
16.3,7,3.35,65.9,79.4
13.8,2.85,0.51,70.1,83.4
18.5,3.8,2.63,69,75.9
21.1,4.67,4.24,69.2,76.5
20.6,5.32,3.15,71.4,76.2
19.9,3.56,4.57,71.3,76.7
16.9,6.2,2.24,70,75.1
19.3,5.93,4.89,69.7,74.3
19.2,6.16,4.56,71.6,75.4
20.1,5.88,3.73,71.7,72.6
18.2,4.7,2.96,64.1,72.1
22.8,6.41,2.45,69.8,73.8
15.2,10.39,1.72,66.3,72.8
22.4,3.42,4.14,68.6,75
22.8,5.51,3.47,72.4,76.2
21.7,5.7,4.65,68.4,69.7
20.6,6.11,4.45,65.2,72.1
25.3,5.4,3.84,74.2,74.7
21.4,5.31,3.28,73.2,74.6
26,6.36,1.79,72.9,77.4
19.8,3.07,3.29,67.2,79.8
19.9,2.56,4.51,74.7,72.7
26.7,4.84,3.54,68.9,77.9
25.1,3.8,7.55,66.4,70.5
26.1,4.11,2.29,71.5,72.3
25.7,4.43,2.76,67.4,72.6
28.5,3.36,5.51,69.4,72.6
27,3.12,6.27,69.1,71.6
7,3.77,1,72.4,81.2
9,2.75,3.31,77.1,80.3
10,4.81,3.61,75.2,79.8
9,1.47,2.67,78.4,79.3
5.5,2.82,1.18,80.4,86.2
7,9.25,3.12,69.6,80.8
5,1.42,1.52,76.5,85.3
9.5,4.93,4.06,74.4,77.9
10.5,4.77,3.5,72.4,79.7
10,5.64,2.91,74.6,80
13,4.36,1.58,73.5,77.7
11,4.23,2.75,74.1,79.3
15,7.7,2.85,73.3,78.8
15,6.39,2.49,75.8,79.6
17,2.55,2.62,76.4,77.6
13,8.84,2.1,69.5,75.1
20,2.72,2.68,73.9,78.9
12,8.19,2.17,72.6,75
20,7.43,5.45,73.3,77.4
21,6.55,4.9,75.2,78.8
23,4.14,4.47,72.9,72.8
20,8.95,5.59,71,76.7
19,2.27,3.48,80.8,79.7
14,2.14,1.92,80.4,79.2
14.5,3.21,1.4,77.2,84.2
17.5,4.62,3.02,69.6,81.4
20,3.39,5.57,74.8,77.9
21.5,6.75,3.27,73.5,79.3
26,5.3,10.12,72.3,76.4
22,2.27,3.92,74,75.4
21.5,3.89,3.62,72.6,75.5
24.5,3.38,6.1,71.1,76.3
22.5,4.15,3.17,73,77.2
14,2.26,1.54,70,75.6
20,3.54,3.99,70.8,77.2
15.5,4.03,4.42,71,73.7
16,1.82,2.55,74.4,74.7
17,3.59,2.73,76,78.6
21,3.96,4.93,67.4,76.7
15.5,1.74,3.06,70.3,77
19,6.07,4.27,69.7,73.2
21,4.08,4.99,68.5,74.2
21,6.55,4.15,72.5,72.9
15.5,4.79,1.93,70.6,73.3
19.5,5.91,4.15,70.9,75.1
22,4.19,3.98,71.2,74.7
21,3.37,6.01,74.7,74.2
16.5,3.08,1.69,73.1,74.3
18,4.91,3.57,67.5,71.7
18,5.94,3.09,69,72.7
18.5,5.55,3.79,67.8,69.4
20.5,4.01,3.62,70.1,73.6
24,4.25,4.22,73.5,75.5
22.5,4.37,4.3,68.2,70.8
19,4.59,2.6,69.7,73.2
22,2.8,3.16,74.2,76.3
20.5,2.81,3.54,72.6,74.4
25,3.43,3.36,72,73.3
24.5,2.66,4.19,66.4,77.4
24,3.92,4.51,69.8,72.4
23,5.78,2.72,70.8,73.2
26,6.18,7.89,65.5,73
25,2.81,4.28,70.1,73.8
24.5,3.62,3.91,68.3,70.7
28,4.26,5.07,68.1,72.5
25.5,1.98,4.47,70.3,71.3
