"block","gen","yield"
1,"new",291.1
1,"old",223.9
2,"new",321.4
2,"old",249.9
3,"new",399.3
3,"old",330.8
4,"new",362.6
4,"old",349.8
5,"new",320.9
5,"old",272.9
6,"new",318.2
6,"old",331.7
7,"new",305.9
7,"old",269.2
8,"new",379.9
8,"old",348.6
9,"new",265.6
9,"old",205
10,"new",221.2
10,"old",170.7
11,"new",301.2
11,"old",260.3
12,"new",324.2
12,"old",295.6
13,"new",258.2
13,"old",273.3
14,"new",308.8
14,"old",225
15,"new",377.9
15,"old",303
16,"new",366.4
16,"old",325.6
17,"new",314.9
17,"old",198
18,"new",293.9
18,"old",237.6
19,"new",324.9
19,"old",298.7
20,"new",317.2
20,"old",266.8
