"rep","gen","yield"
"S1","G01",0.05
"S1","G02",0
"S1","G03",0
"S1","G04",0.1
"S1","G05",0.25
"S1","G06",0.05
"S1","G07",0.5
"S1","G08",1.3
"S1","G09",1.5
"S1","G10",1.5
"S2","G01",0
"S2","G02",0.05
"S2","G03",0.05
"S2","G04",0.3
"S2","G05",0.75
"S2","G06",0.3
"S2","G07",3
"S2","G08",7.5
"S2","G09",1
"S2","G10",12.7
"S3","G01",1.25
"S3","G02",1.25
"S3","G03",2.5
"S3","G04",16.6
"S3","G05",2.5
"S3","G06",2.5
"S3","G07",0
"S3","G08",20
"S3","G09",37.5
"S3","G10",26.25
"S4","G01",2.5
"S4","G02",0.5
"S4","G03",0.01
"S4","G04",3
"S4","G05",2.5
"S4","G06",0.01
"S4","G07",25
"S4","G08",55
"S4","G09",5
"S4","G10",40
"S5","G01",5.5
"S5","G02",1
"S5","G03",6
"S5","G04",1.1
"S5","G05",2.5
"S5","G06",8
"S5","G07",16.5
"S5","G08",29.5
"S5","G09",20
"S5","G10",43.5
"S6","G01",1
"S6","G02",5
"S6","G03",5
"S6","G04",5
"S6","G05",5
"S6","G06",5
"S6","G07",10
"S6","G08",5
"S6","G09",50
"S6","G10",75
"S7","G01",5
"S7","G02",0.1
"S7","G03",5
"S7","G04",5
"S7","G05",50
"S7","G06",10
"S7","G07",50
"S7","G08",25
"S7","G09",50
"S7","G10",75
"S8","G01",5
"S8","G02",10
"S8","G03",5
"S8","G04",5
"S8","G05",25
"S8","G06",75
"S8","G07",50
"S8","G08",75
"S8","G09",75
"S8","G10",75
"S9","G01",17.5
"S9","G02",25
"S9","G03",42.5
"S9","G04",50
"S9","G05",37.5
"S9","G06",95
"S9","G07",62.5
"S9","G08",95
"S9","G09",95
"S9","G10",95
