"block","gen","yield"
"R1","Maris",350
"R1","Dwarf",230
"R1","Minica",355
"R1","Stella",370
"R1","Topless",280
"R1","Metissa",185
"R2","Metissa",200
"R2","Stella",440
"R2","Dwarf",280
"R2","Topless",255
"R2","Maris",420
"R2","Minica",240
"R3","Minica",460
"R3","Dwarf",300
"R3","Maris",430
"R3","Metissa",350
"R3","Topless",315
"R3","Stella",455
"R4","Stella",410
"R4","Maris",380
"R4","Topless",305
"R4","Minica",605
"R4","Metissa",540
"R4","Dwarf",315
"R5","Dwarf",375
"R5","Metissa",510
"R5","Maris",405
"R5","Stella",495
"R5","Minica",515
"R5","Topless",395
"R6","Topless",330
"R6","Dwarf",365
"R6","Stella",620
"R6","Metissa",290
"R6","Minica",455
"R6","Maris",505
"R7","Metissa",470
"R7","Stella",510
"R7","Dwarf",310
"R7","Topless",185
"R7","Maris",500
"R7","Minica",250
"R8","Minica",360
"R8","Dwarf",300
"R8","Maris",420
"R8","Metissa",335
"R8","Topless",275
"R8","Stella",445
"R9","Stella",490
"R9","Maris",415
"R9","Topless",255
"R9","Minica",350
"R9","Metissa",450
"R9","Dwarf",370
"R10","Dwarf",220
"R10","Metissa",380
"R10","Maris",480
"R10","Stella",605
"R10","Minica",545
"R10","Topless",355
"R11","Topless",325
"R11","Dwarf",400
"R11","Stella",575
"R11","Metissa",425
"R11","Minica",615
"R11","Maris",560
"R12","Maris",425
"R12","Dwarf",185
"R12","Minica",585
"R12","Stella",520
"R12","Topless",220
"R12","Metissa",435
"R13","Minica",480
"R13","Dwarf",360
"R13","Maris",350
"R13","Metissa",195
"R13","Topless",330
"R13","Stella",320
"R14","Stella",415
"R14","Maris",300
"R14","Topless",180
"R14","Minica",455
"R14","Metissa",465
"R14","Dwarf",375
"R15","Dwarf",520
"R15","Metissa",455
"R15","Maris",405
"R15","Stella",510
"R15","Minica",405
"R15","Topless",195
"R16","Topless",230
"R16","Dwarf",275
"R16","Stella",405
"R16","Metissa",470
"R16","Minica",475
"R16","Maris",485
"R17","Maris",500
"R17","Dwarf",335
"R17","Minica",630
"R17","Stella",475
"R17","Topless",320
"R17","Metissa",520
"R18","Metissa",300
"R18","Stella",530
"R18","Dwarf",290
"R18","Topless",275
"R18","Maris",450
"R18","Minica",455
"R19","Maris",470
"R19","Minica",495
"R19","Metissa",310
"R19","Stella",470
"R19","Dwarf",205
"R19","Topless",270
"R20","Topless",225
"R20","Minica",335
"R20","Stella",415
"R20","Maris",335
"R20","Metissa",405
"R20","Dwarf",385
"R21","Dwarf",355
"R21","Metissa",375
"R21","Minica",385
"R21","Topless",240
"R21","Maris",445
"R21","Stella",395
"R22","Stella",405
"R22","Topless",290
"R22","Metissa",365
"R22","Maris",500
"R22","Dwarf",300
"R22","Minica",510
"R23","Minica",535
"R23","Maris",470
"R23","Topless",315
"R23","Dwarf",320
"R23","Stella",470
"R23","Metissa",555
"R24","Metissa",320
"R24","Topless",340
"R24","Stella",525
"R24","Minica",455
"R24","Dwarf",280
"R24","Maris",420
