"block","rotation","fungicide","yield"
"B1","CS","Fungicide",12.9582270598041
"B1","CS","No Fungicide",12.4075245255722
"B1","CC","Fungicide",11.4977837936407
"B1","CC","No Fungicide",11.6083588040431
"B2","CS","Fungicide",14.1993711949747
"B2","CS","No Fungicide",13.6989807048009
"B2","CC","Fungicide",12.7662738021766
"B2","CC","No Fungicide",12.9276919852426
"B3","CS","Fungicide",15.8266641106848
"B3","CS","No Fungicide",15.4510979400871
"B3","CC","Fungicide",14.4493314882212
"B3","CC","No Fungicide",14.5927953082214
"B4","CS","Fungicide",16.6200993832282
"B4","CS","No Fungicide",16.1411679376669
"B4","CC","Fungicide",15.2426536496253
"B4","CC","No Fungicide",15.2853743522849
