"block","tillage","fungicide","yield"
"B1","NT","Fungicide",3.69831439481718
"B1","NT","No Fungicide",3.45202665347806
"B1","ST","Fungicide",4.05967850211165
"B1","ST","No Fungicide",3.86722456402726
"B2","NT","Fungicide",4.04529113438771
"B2","NT","No Fungicide",3.90267761272025
"B2","ST","Fungicide",4.62193851603989
"B2","ST","No Fungicide",4.09406677748364
"B3","NT","Fungicide",4.43864907047559
"B3","NT","No Fungicide",4.23831376481726
"B3","ST","Fungicide",4.66581352170087
"B3","ST","No Fungicide",4.4645302267087
"B4","NT","Fungicide",4.86143423867675
"B4","NT","No Fungicide",4.4421000589828
"B4","ST","Fungicide",4.95803130473843
"B4","ST","No Fungicide",4.8191700174568
