"trt","nitro","rep","stage"
"T1",3.26,"R1","P1"
"T2",3.84,"R1","P1"
"T3",3.5,"R1","P1"
"T4",3.43,"R1","P1"
"T5",3.43,"R1","P1"
"T6",3.68,"R1","P1"
"T7",2.97,"R1","P1"
"T8",3.11,"R1","P1"
"T1",2.98,"R2","P1"
"T2",3.74,"R2","P1"
"T3",3.49,"R2","P1"
"T4",3.45,"R2","P1"
"T5",3.24,"R2","P1"
"T6",3.24,"R2","P1"
"T7",2.9,"R2","P1"
"T8",3.04,"R2","P1"
"T1",2.78,"R3","P1"
"T2",3.09,"R3","P1"
"T3",3.03,"R3","P1"
"T4",2.81,"R3","P1"
"T5",3.45,"R3","P1"
"T6",2.84,"R3","P1"
"T7",2.92,"R3","P1"
"T8",3.2,"R3","P1"
"T1",2.77,"R4","P1"
"T2",3.36,"R4","P1"
"T3",3.36,"R4","P1"
"T4",3.32,"R4","P1"
"T5",3.09,"R4","P1"
"T6",2.91,"R4","P1"
"T7",2.42,"R4","P1"
"T8",2.81,"R4","P1"
