"col","row","gen","yield"
1,1,"a",236.5
3,1,"c",291.1
6,1,"b",290.5
9,1,"a",291.6
11,1,"c",321.4
14,1,"b",246.6
17,1,"a",322
19,1,"c",399.3
22,1,"b",343.3
25,1,"a",333.4
27,1,"c",362.6
30,1,"b",400.6
1,2,"b",265.9
4,2,"a",238.3
6,2,"c",320.9
9,2,"b",307.9
12,2,"a",263.1
14,2,"c",NA
17,2,"b",301.7
20,2,"a",280.2
22,2,"c",305.9
25,2,"b",314.2
28,2,"a",405.7
30,2,"c",379.9
1,3,"c",265.6
4,3,"b",277.4
7,3,"a",286.1
9,3,"c",221.2
12,3,"b",235.5
15,3,"a",302.2
17,3,"c",301.2
20,3,"b",324.1
23,3,"a",248
25,3,"c",324.2
28,3,"b",286.7
31,3,"a",362.9
2,4,"a",222.6
4,4,"c",258.2
7,4,"b",301.1
10,4,"a",296.7
12,4,"c",308.8
15,4,"b",297.5
18,4,"a",374.3
20,4,"c",377.9
23,4,"b",344.7
26,4,"a",331.8
28,4,"c",NA
31,4,"b",354.7
2,5,"b",249.3
5,5,"a",263.4
7,5,"c",314.9
10,5,"b",225.7
13,5,"a",236.9
15,5,"c",293.9
18,5,"b",330.2
21,5,"a",327
23,5,"c",324.9
26,5,"b",316.6
29,5,"a",338.9
31,5,"c",317.2
