"rep","entry","yield"
"R1","A",33.17
"R1","B",34.3
"R1","C",35.84
"R1","D",30.34
"R1","E",33.91
"R1","F",35.31
"R1","H",30.41
"R1","I",33.07
"R1","J",34.54
"R1","K",45.41
"R1","L",41.09
"R1","M",44.59
"R1","N",48
"R1","O",42.32
"R1","P",42.43
"R2","A",41.1
"R2","B",27.49
"R2","C",40.12
"R2","D",38.8
"R2","E",31.88
"R2","F",45.37
"R2","H",31.59
"R2","I",39.96
"R2","J",45.05
"R2","K",52.99
"R2","L",49.6
"R2","M",51.83
"R2","N",50.33
"R2","O",48.14
"R2","P",50.04
"R3","A",35.22
"R3","B",40.5
"R3","C",38
"R3","D",28.77
"R3","E",38.81
"R3","F",34.76
"R3","H",32.28
"R3","I",34.61
"R3","J",50.46
"R3","K",40.4
"R3","L",35.67
"R3","M",45.45
"R3","N",40.6
"R3","O",40.13
"R3","P",47.55
